month,Actuals,_2025_02,_2025_05,_2025_06,_2025_07
2025-01-01,75837.0,,,,
2025-02-01,75997.0,76577.66,,,
2025-03-01,75925.0,76943.63,,,
2025-04-01,75968.0,77315.87,,,
2025-05-01,75528.0,77666.02,76594.97327,,
2025-06-01,75918.0,77983.98,77509.09804,76374.30751,
2025-07-01,,78010.86,77351.39941,77085.30423,76244.23112376576
2025-08-01,,,77181.79234,76919.25174,76889.95098461444
2025-09-01,,,77430.90247,77214.84001,77242.16850121034
2025-10-01,,,77080.08294,76877.54766,76857.91665980636
2025-11-01,,,,76876.48302,76770.82431134948
2025-12-01,,,,,77055.20930877961
